2020125001,서구어린이도서관,대전광역시 서구 정림동로,25 (서구어린이도서관),042-288-4830,042-288-5939,http://www.seogu.go.kr/learning/childlib,10:00~19:00,"매주 금요일, 법정공휴일"
2020141001,성남시구미도서관,경기 성남시 분당구 구미동,미금일로 105,031-729-4700,031-729-4689,http://gm.snlib.net,07:00~24:00,1주.3주 금요일
2030111001,4.19 혁명기념 도서관,서울특별시 종로구 평동,166,02-737-9556,02-737-9557,http://library.419revolution.org,"실별, 요일별 상이",공휴일 및 관장 지정 휴관일
2030111002,오류도서관,서울특별시 구로구 오류1동,13-15,02-2613-8983,02-2614-8982,http://www.oryulib.or.kr/,1978.07.02,일요일을 제외한 국가공휴일
2030111003,한국학생도서관,서울특별시 중구 동호로27길,30 (한국학생회관),02-2275-0753,02-2279-9035,http://ksplibrary.co.kr,09:00-21:00,국경일
2030111004,명성교회도서관,서울특별시 강동구 명일동,341-2,02-440-9140,02-440-9149,http://www.mslib.or.kr,10:00~24:00,"월요일, 법정공휴일"
2030111007,더불어 숲,대구광역시 북구 국우동,1099-1 해일빌딩 3층,053-326-0937,053-289-0937,http://www.withwith.net,오전 10시~오후 7시,(국가)공휴일
2030111008,가락몰도서관,서울특별시 송파구 양재대로 932 (가락동),가락몰 업무동 4층,02-3435-0950,02-3435-0959,http://www.splib.or.kr/spalib/,09:00 ~ 18:00,매주 월요일 및 법정공휴일
2030111009,지샘터 올림픽공원도서관,서울특별시 송파구 올림픽로,424 (올림픽공원) 스포츠비즈홀1층,02-2180-3578,02-2180-3559,http://lib.kspo.or.kr,평일 09:00 ~ 19:00  주말 09:00 ~ 18:00,"월요일, 법정공휴일"
2030121002,느티나무도서관,부산광역시 해운대구 반송2동 ,216-290,051-542-1590,팩스전송시 전화요망,http://www.ntnamu.kr/,,
2030121003,맨발동무도서관,부산 북구 화명2동,양달로 64 대천천환경문화센터 3층,051-333-2263,051-333-2263,http://www.maenbal.org,"수, 목요일:오전10시~오후6시, 금요일:오전10시~오후9시, 토,일요일:오전10시~오후5시","매주 월, 화요일, 법정공휴일"
2030122001,새벗도서관,대구광역시 달서구 상인2동,319-6,053-631-9105,053-632-9105,http://www.saebut.org,"오전10시 개관~주중(화~금요일) 오후7시, 주말(토,일요일) 오후6시까지",매주 월요일과 국경일
2030122002,한들마을도서관,대구광역시 동구 팔공로101길,47 2층 한들마을도서관,053-985-1513,053-985-1513,http://handl.windbook.kr,월~금:오전 11시~오후 5시/수:오전 11시~오후 8시/토:오전 11~오후 2시,"일요일, (법정)공휴일"
2030122003,푸른초장공공도서관,대구광역시 달서구 달구벌대로 973 (파호동),42번지,053-582-3394,053-593-3395,http://www.wasabi-book.org,월~토/9:00~18:00,"매주 일요일, 국경일"
2030122005,꿈꾸는마을도서관 도토리,대구광역시 북구 구암로,"146, (구암동) 3층",053-327-0645,053-326-0646,http://cafe.daum.net/gbdotory,,
2030122006,사립공공 연암도서관,대구광역시 북구 동북로26길,25-1 사립공공연암도서관,053-956-4422,,http://yeonam.modoo.at/,화요일~금요일 9시~18시 / 토요일 9시~17시,"일,월요일"
2030122007,비전도서관,대구광역시 달성군 화원읍 인흥길 11,2층 비전도서관,053-639-2140,053-639-2146,http://211.245.106.49/new/jsp/info/guide.jsp?organ_code=10110,09:00 - 18:00,토
2030141001,사랑샘도서관,경기도 수원시 영통구 이의동,1088번지 수원시장애인종합복지관,031-548-5660,070-8650-0319,http://swlove.suwonlib.go.kr,평일-09:00~18:00,"매주 토요일, 일요일, 법정공휴일"
2030141002,한아름도서관 (수원청소년문화센터내),경기도 수원시 팔달구 인계동,334-1,031-218-0422,031-218-0429,http://www.suwonlib.go.kr/sycc,9시,매주 월요일
2030141004,희망샘도서관,경기도 수원시 권선구 매송고색로 620 (고색동),620 서수원주민편익시설 3층,031-291-6943,031-291-6944,http://www.suwonlib.go.kr/swhope/index.asp,,"1,3주 일요일 / 법정공휴일 / 관장이 정한 임시휴일"
2030141005,부천예술정보도서관 다감,경기 부천시 원미구 상1동,394-2,032-320-6327,032-326-6929,http://www.bcf.or.kr,10:00~18:00,월요일
2030141006,느티나무도서관,경기도 용인시 수지구 수풍로116번길,22 (느티나무도서관),031-262-3494,031-262-6124,http://www.neutinamu.org,"화,수,금,토: 10시-22시 / 일: 13시-18시","월, 목요일, 법정공휴일"
2030141007,만화도서관,경기도 부천시 길주로 1 (상동),한국만화박물관 2층 만화도서관,032-320-3055,032-661-3747,http://www.komacon.kr/comicsmuseum/library/room.asp,,
2030145001,명봉도서관,전라북도 정읍시 태인면 태인로 33-9,명봉도서관,063-534-8261,063-534-8260,https://mblib.winbook.kr,,"월요일,설날당일,추석당일"
2030146001,관옥나무도서관,전라남도 순천시 해룡면 하사길 5,관옥나무도서관,061-727-2210,,http://cafe.daum.net/GwanokNamasLibrary,,
2030841001,반달어린이도서관,경기도 수원시 영통구 영통동,반달로 45,031-201-8349,031-201-8310,http://www.suwonlib.go.kr/bandal,09:00~18:00,"매주 일요일, 국경일"
2030841002,화홍어린이도서관,경기도 수원시 팔달구 수원천로 361 (북수동),유가심인당,031-254-2585,031-254-2585,http://www.suwonlib.go.kr/hwahong,"하절기(10:00~17:00), 동절기(10:00~17:00) 일요일:11:00~17:00","매주 월요일, 공휴일"
2030842001,담작은도서관,강원도 춘천시,효자문길7번길 10 담작은도서관,033-256-6363,033-256-6383,http://dam.ilib.or.kr/,"화,수,목 10:00-18:00 / 금 11:00-21:00 / 토,일 11:00-18:00",월요일
2030848001,마하 어린이도서관,경상남도 진주시 초장로 55 (초전동),2층,055-753-9922,055-761-1141,http://www.mahacl.com/,,
2050111001,서울특별시교육청강남도서관,서울특별시 강남구 선릉로116길 45 (삼성동),서울특별시교육청강남도서관,02-3448-4741,02-3443-4713,http://gnlib.sen.go.kr,자료실 평일09:00-18:00 (종합자료실 22:00) 주말09:00-17:00,"매월 첫째,셋째 수요일 및 일요일을 제외한 법정공휴일"
2050111002,서울특별시교육청강동도서관,서울특별시 강동구 양재대로116길 57 (길동),강동도서관,02-2225-9800,02-471-8520,http://gdlib.sen.go.kr,07:00-23:00,"첫째, 셋째 목요일"
2050111003,서울특별시교육청강서도서관,서울특별시 강서구 등촌로51나길 29 (등촌동),강서도서관,02-3219-7000,02-3219-7092,http://gslib.sen.go.kr,07:00~23:00(하절기) 08:00~23:00(동절기) 07:00~22:00(하절기 주말) 08:00~22:00(동절기 주말),"매월 첫째, 셋째주 금요일, 법정공휴일"
2050111004,서울특별시교육청개포도서관,서울특별시 강남구 선릉로4길 30 (개포동),서울특별시교육청 개포도서관,02-3460-8200,02-3460-8299,http://gplib.sen.go.kr,"하(동)절기: 07(08)～23시, 자료실 평일(문헌정보실:9시～22시, 어린이실/디지털실:9시～18시) / 주말(9시～17시)","매월 둘째,넷째 목요일 및 일요일을 제외한 법정공휴일"
